acessos,ano,cnpj,codigo_ibge_municipio,codigo_nacional,codigo_nacional_chip,empresa,grupo_economico,mes,modalidade_cobranca,municipio,porte_prestadora,tecnologia,tecnologia_geracao,tipo_pessoa,tipo_produto,uf,fraude,latitude,longitude,populacao_estimada,populacao_estimada_numerica,populacao_estimada_numerica2,populacao_estimada_numerica3
4,2025,40432544000147,2102200,98,31,CLARO,TELECOM AMERICAS,5,Pré-pago,Buriti,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,MA,N,"-3,94169","-42,9179","30,799",30.799,30.799,30.799
1,2025,40432544000147,2906402,75,55,CLARO,TELECOM AMERICAS,5,Pré-pago,Candeal,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,BA,N,"-11,8049","-39,1203","7,969",7.969,7.969,7.969
3,2025,40432544000147,1303403,92,17,CLARO,TELECOM AMERICAS,5,Pós-pago,Parintins,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,AM,N,"-2,63741","-56,729","101,956",101.956,101.956,101.956
1,2025,40432544000147,3303005,22,88,CLARO,TELECOM AMERICAS,5,Pré-pago,Miracema,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,RJ,N,"-21,4148","-42,1938","28,411",28.411,28.411,28.411
18,2025,40432544000147,3116407,34,16,CLARO,TELECOM AMERICAS,5,Pré-pago,Claraval,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,MG,N,"-20,397","-47,2768","4,777",4.777,4.777,4.777
3,2025,40432544000147,2105104,98,11,CLARO,TELECOM AMERICAS,5,Pós-pago,Icatu,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,MA,N,"-2,77206","-44,0501","25,332",25.332,25.332,25.332
2,2025,40432544000147,3111507,37,44,CLARO,TELECOM AMERICAS,5,Pós-pago,Campos Altos,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,MG,N,"-19,6914","-46,1725","13,136",13.136,13.136,13.136
1,2025,40432544000147,1100189,69,86,CLARO,TELECOM AMERICAS,5,Pós-pago,Pimenta Bueno,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,RO,N,"-11,672","-61,198","39,053",39.053,39.053,39.053
27,2025,40432544000147,3522208,11,71,CLARO,TELECOM AMERICAS,5,Pós-pago,Itapecerica da Serra,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,SP,S,"-23,7161","-46,8572","163,928",163.928,163.928,163.928
1,2025,40432544000147,3145604,37,17,CLARO,TELECOM AMERICAS,5,Pós-pago,Oliveira,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,MG,N,"-20,6982","-44,829","40,552",40.552,40.552,40.552
3,2025,40432544000147,4311403,51,65,CLARO,TELECOM AMERICAS,5,Pré-pago,Lajeado,Grande Porte,LTE,4G,Pessoa Física,VOZ+DADOS,RS,N,"-29,4591","-51,9644","3,52",3.52,3.52,3.52
1,2025,2255187000108,4303103,51,54,UNIFIQUE,UNIFIQUE,5,Pós-pago,Cachoeirinha,Pequeno Porte,NR,5G,Pessoa Física,VOZ+DADOS,RS,N,"-29,9472","-51,1016","20,612",20.612,20.612,20.612
